DEPT,DPHI,GR,ILD,FORMATION
4901.5,3.418,81.113,12.5,1
4902,3.442,82.704,12.097,1
4902.5,2.023,84.692,12.097,1
4903,1.653,87.873,12.097,1
4903.5,1.579,91.451,12.097,1
4904,1.902,93.837,12.097,1
4904.5,2.427,95.03,12.097,1
4905,2.854,100.596,12.097,1
4905.5,2.608,101.789,12.097,1
4906,2.581,100.596,12.097,1
4906.5,2.899,100.199,12.499,1
4907,2.994,100.199,12.623,1
4907.5,3.149,96.62,12.903,1
4908,2.918,93.439,12.903,1
4908.5,2.347,92.644,12.903,1
4909,1.964,94.235,12.903,1
4909.5,1.776,95.427,12.903,1
4910,2.072,98.211,12.903,1
4910.5,2.577,99.404,13.088,1
4911,2.547,96.62,13.615,1
4911.5,2.675,93.042,13.71,1
4912,3.147,91.054,13.556,1
4912.5,3.227,89.861,13.306,1
4913,3.171,91.451,13.039,1
4913.5,3.516,95.03,12.903,1
4914,3.846,97.813,12.903,1
4914.5,4.177,97.813,12.903,1
4915,4.508,97.018,12.903,1
4915.5,4.298,93.837,12.903,1
4916,4.546,90.258,12.766,1
4916.5,5.548,89.463,12.239,1
4917,6.238,91.849,12.097,1
4917.5,6.474,95.03,12.097,1
4918,6.795,99.006,12.097,1
4918.5,6.42,101.392,12.097,1
4919,6.643,102.982,12.978,1
4919.5,6.913,102.187,13.306,1
4920,5.887,101.392,13.306,1
4920.5,5.411,101.789,13.35,1
4921,5.047,101.789,13.71,1
4921.5,4.653,100.596,14.292,1
4922,4.651,99.006,14.516,1
4922.5,4.442,97.813,14.516,1
4923,4.064,95.825,14.516,1
4923.5,4.164,95.825,14.516,1
4924,4.458,96.62,14.621,1
4924.5,4.458,96.62,14.919,1
4925,4.525,94.632,14.567,1
4925.5,4.639,94.235,14.516,1
4926,4.659,89.861,14.516,1
4926.5,4.7,88.27,14.516,1
4927,5.055,88.27,14.516,1
4927.5,5.296,89.861,14.516,1
4928,3.843,89.861,14.226,1
4928.5,4.018,90.258,13.71,1
4929,4.364,89.066,13.71,1
4929.5,4.603,87.078,13.451,1
4930,4.608,83.499,12.923,1
4930.5,5.181,83.499,12.903,1
4931,5.78,85.487,12.903,1
4931.5,6.201,85.885,12.903,1
4932,7.835,85.487,12.903,1
4932.5,7.88,87.475,12.903,1
4933,7.626,90.258,12.903,1
4933.5,7.278,91.451,12.903,1
4934,5.821,93.837,12.903,1
4934.5,4.117,96.62,12.903,1
4935,3.942,96.223,13.317,1
4935.5,3.744,98.608,13.71,1
4936,2.999,101.392,13.71,1
4936.5,2.671,103.38,14.092,1
4937,2.836,104.175,14.516,1
4937.5,3.377,102.187,14.516,1
4938,3.488,98.608,14.516,1
4938.5,3.719,93.837,14.516,1
4939,4.037,87.475,14.516,1
4939.5,3.904,85.089,14.516,1
4940,3.952,84.692,15.323,1
4940.5,4.056,85.089,15.323,1
4941,3.932,85.885,15.323,1
4941.5,4.79,87.475,15.735,1
4942,4.402,89.463,16.129,1
4942.5,4.113,89.861,16.643,1
4943,4.133,89.861,16.935,1
4943.5,4.371,87.475,17.441,1
4944,4.574,82.704,18.194,1
4944.5,4.814,78.728,18.898,1
4945,4.938,77.535,20.302,1
4945.5,5.085,76.74,20.968,1
4946,5.413,75.944,21.605,1
4946.5,5.736,74.751,21.774,1
4947,4.909,73.956,21.611,1
4947.5,3.982,73.161,21.084,1
4948,3.66,71.968,19.75,1
4948.5,3.183,71.173,19.091,1
4949,2.618,68.787,18.036,1
4949.5,1.816,65.209,17.742,1
4950,1.976,61.386,16.851,1
4950.5,2.376,59.406,16.599,1
4951,5.287,58.614,16.599,1
4951.5,5.991,59.802,16.599,1
4952,6.515,61.386,16.405,1
4952.5,6.941,65.347,16.194,1
4953,6.95,68.515,16.117,1
4953.5,6.981,72.475,15.385,1
4954,6.779,74.851,15.385,1
4954.5,6.628,76.436,15.385,1
4955,5.696,77.228,15.385,1
4955.5,5.229,79.604,15.385,1
4956,4.874,83.564,15.385,1
