DEPT,DPHI,GR,ILD,FORMATION
4987.5,6.095,84.337,10.309,1
4988,6.254,86.345,10.534,1
4988.5,5.937,92.369,11.155,1
4989,5.937,96.787,10.788,1
4989.5,5.937,99.598,10.487,1
4990,5.619,99.598,9.814,1
4990.5,5.342,100.402,9.451,1
4991,5.302,100,9.363,1
4991.5,5.342,100,9.363,1
4992,5.738,102.41,9.421,1
4992.5,5.699,104.016,9.562,1
4993,5.421,104.016,9.696,1
4993.5,5.342,104.016,9.96,1
4994,5.183,101.205,10.159,1
4994.5,4.985,99.197,10.011,1
4995,4.787,98.795,9.761,1
4995.5,4.628,99.197,9.338,1
4996,4.668,101.606,8.839,1
4996.5,5.104,108.434,8.333,1
4997,5.818,112.851,7.825,1
4997.5,6.056,113.655,7.988,1
4998,6.254,113.655,8.271,1
4998.5,6.452,114.458,7.783,1
4999,5.976,115.663,7.769,1
4999.5,5.58,114.859,7.954,1
5000,5.5,115.261,8.765,1
5000.5,5.5,111.647,8.964,1
5001,5.382,106.426,9.437,1
5001.5,5.421,103.213,9.562,1
5002,5.223,101.205,9.562,1
5002.5,4.747,100.402,9.582,1
5003,4.668,103.614,9.918,1
5003.5,4.906,107.229,10.187,1
5004,4.47,108.032,10.523,1
5004.5,4.153,106.426,10.558,1
5005,4.787,106.024,10.558,1
5005.5,4.866,100.803,10.558,1
5006,4.787,99.197,10.444,1
5006.5,4.747,100.402,10.056,1
5007,4.668,104.819,9.572,1
5007.5,4.311,107.631,9.236,1
5008,4.073,111.245,9.163,1
5008.5,4.43,112.048,9.165,1
5009,4.549,108.835,9.501,1
5009.5,4.628,103.614,10.112,1
5010,4.827,100.402,10.359,1
5010.5,4.945,98.795,10.359,1
5011,5.104,98.795,10.359,1
5011.5,5.58,101.606,10.359,1
5012,5.58,106.024,10.187,1
5012.5,5.58,108.835,9.562,1
5013,5.976,110.843,9.163,1
5013.5,6.135,110.442,9.163,1
5014,5.897,108.835,9.163,1
5014.5,5.619,105.221,9.262,1
